#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 116820, total_files_alive: 2575, cacheTableSize: 0, cachesize: 520, blocksize: 520, prefetchsize: 26, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,72.39,551,3156
6,76.37,1078,3228
9,79.21,1942,3345
12,81.57,2784,3664
15,82.11,3318,4724
18,82.94,4108,5003
21,82.56,5197,5731
24,83.32,5830,5810
27,83.86,6563,5916
30,84.84,7357,7095
33,84.22,8473,9432
36,85.11,9489,10290
39,85.2,10073,10945
42,85.7,11097,11585
45,84.79,11932,12512
48,84.51,12875,13650
51,84.62,13534,14218
54,84.86,14203,15137
57,84.96,15159,15959
60,84.88,15765,16430
63,84.9,16044,16543
66,84.97,16595,16773
69,84.97,17191,17081
72,84.95,17659,17717
75,85.0,18040,18002
78,85.05,18419,18353
81,85.16,18770,18580
84,84.37,19247,19980
87,84.4,19602,20072
90,84.41,19910,20171
93,83.81,20190,20268
96,83.85,20392,20415
99,83.85,20630,20680
102,83.9,20953,21116
105,83.99,21390,21435
108,84.01,21654,21625
111,84.07,21844,21854
114,84.12,21998,21955
117,84.2,22369,22283
120,84.27,22644,22458
123,84.26,22838,22841
126,84.29,22981,23048
129,84.39,23156,23168
132,84.47,23320,23402
135,84.52,23502,23606
138,84.57,23656,23756
141,84.74,24030,24096
144,84.81,24218,24179
147,84.93,24461,24267
150,85.09,24865,24609
153,85.28,25394,25127
156,85.29,25520,25201
159,85.31,25745,25471
162,85.39,25967,25679
165,85.36,26107,26248
168,85.36,26195,26344
171,85.37,26357,26513
174,85.4,26505,26648
177,85.44,26671,26870
180,85.44,26759,26930
